"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Make: All Makes - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C538B440"
"ColumnCount:",2
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #"
"02/2001",3956
"03/2001",4311
"04/2001",4526
"05/2001",5028
"06/2001",4873
"07/2001",5229
"08/2001",5373
"09/2001",4930
"10/2001",5304
"11/2001",5104
"12/2001",5167
"01/2002",4567
"02/2002",4034
"03/2002",4727
"04/2002",4455
"05/2002",5008
"06/2002",5155
"07/2002",5262
"08/2002",5314
"09/2002",5109
"10/2002",5154
"11/2002",4796
"12/2002",4845
"01/2003",4167
"02/2003",3809
"03/2003",4370
"04/2003",4812
"05/2003",4924
"06/2003",5126
"07/2003",5373
"08/2003",5574
"09/2003",5070
"10/2003",5482
"11/2003",5279
"12/2003",4891
"01/2004",4505
"02/2004",4055
"03/2004",4449
"04/2004",4683
"05/2004",5152
"06/2004",5145
"07/2004",5294
"08/2004",5419
"09/2004",4910
"10/2004",5231
"11/2004",4849
"12/2004",5037
"01/2005",4298
"02/2005",4011
"03/2005",4411
"04/2005",4914
"05/2005",5019
"06/2005",5186
"07/2005",5683
"08/2005",5282
"09/2005",5081
"10/2005",5504
"11/2005",5212
"12/2005",4894
"01/2006",4411
"02/2006",4047
"03/2006",4612
"04/2006",4658
"05/2006",5117
"06/2006",5120
"07/2006",5236
"08/2006",5153
"09/2006",4956
"10/2006",5235
"11/2006",4793
"12/2006",4756
"01/2007",4060
"02/2007",3968
"03/2007",4746
"04/2007",4614
"05/2007",4899
"06/2007",4961
"07/2007",5123
"08/2007",5029
"09/2007",4753
"10/2007",4961
"11/2007",4640
"12/2007",4499
"01/2008",3916
"02/2008",3929
"03/2008",3834
"04/2008",4021
"05/2008",4329
"06/2008",4487
"07/2008",4422
"08/2008",4663
"09/2008",4185
"10/2008",4512
"11/2008",4151
"12/2008",4211
"01/2009",3565
"02/2009",3171
"03/2009",3459
"04/2009",3930
"05/2009",4100
"06/2009",4013
"07/2009",4083
"08/2009",4196
"09/2009",3869
"10/2009",3857
"11/2009",3720
"12/2009",3577
"01/2010",3107
"02/2010",2801
"03/2010",3336
"04/2010",3804
"05/2010",3956
"06/2010",3821
"07/2010",4200
"08/2010",4183
"09/2010",4094
"10/2010",4136
"11/2010",3854
"12/2010",3570
"01/2011",3076
"02/2011",2868
"03/2011",3311
"04/2011",3508
"05/2011",3744
"06/2011",3937
"07/2011",4232
"08/2011",4109
"09/2011",3824
"10/2011",4194
"11/2011",3692
"12/2011",3624
"01/2012",3330
"02/2012",3189
"03/2012",3678
"04/2012",3548
"05/2012",3966
"06/2012",4131
"07/2012",4164
"08/2012",4258
"09/2012",4074
"10/2012",3997
"11/2012",3853
"12/2012",3772
"01/2013",3416
"02/2013",2845
"03/2013",3552
"04/2013",3464
"05/2013",3817
"06/2013",4009
"07/2013",3933
"08/2013",4304
"09/2013",4106
"10/2013",4135
"11/2013",3803
"12/2013",3717
"01/2014",3260
"02/2014",2802
"03/2014",3374
"04/2014",3478
"05/2014",3891
"06/2014",3887
"07/2014",4011
"08/2014",4175
"09/2014",3897
"10/2014",4242
"11/2014",4044
"12/2014",3889
"01/2015",3584
"02/2015",3057
"03/2015",3721
"04/2015",3741
"05/2015",4333
"06/2015",4260
"07/2015",4628
"08/2015",4630
"09/2015",4380
"10/2015",4610
"11/2015",4212
"12/2015",4322
"01/2016",3483
"02/2016",3668
"03/2016",4065
"04/2016",4172
"05/2016",4580
"06/2016",4721
"07/2016",4583
"08/2016",4794
"09/2016",4758
"10/2016",4933
"11/2016",4570
"12/2016",4387
"01/2017",3988
"02/2017",3487
"03/2017",4183
"04/2017",4257
"05/2017",4523
"06/2017",4752
"07/2017",4980
"08/2017",4515
"09/2017",4874
"10/2017",4726
"11/2017",4441
"12/2017",4402
"01/2018",4056
"02/2018",3547
"03/2018",4084
"04/2018",3985
"05/2018",4598
"06/2018",4648
"07/2018",4610
"08/2018",4648
"09/2018",4600
"10/2018",4825
"11/2018",4164
"12/2018",4107
"01/2019",3875
"02/2019",3344
"03/2019",3959
"04/2019",4072
"05/2019",4487
"06/2019",4535
"07/2019",4592
"08/2019",4699
"09/2019",4674
"10/2019",4560
"11/2019",4339
"12/2019",4111
"01/2020",3760
"02/2020",3747
"03/2020",3548
"04/2020",3077
"05/2020",4267
"06/2020",5186
"07/2020",5251
"08/2020",5426
"09/2020",5230
"10/2020",5480
"11/2020",4784
"12/2020",4516



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
