"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Hyundai, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Light Trucks, All Makes, All Models, All Vehicle Years, #","Light Trucks, Chevrolet, All Models, All Vehicle Years, #","Light Trucks, Ford, All Models, All Vehicle Years, #","Light Trucks, Hyundai, All Models, All Vehicle Years, #","Light Trucks, Mercedes-Benz, All Models, All Vehicle Years, #","Light Trucks, Subaru, All Models, All Vehicle Years, #","Light Trucks, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #"
"12/1993",9026,1764,1764,64,24,64,520,5338,1002,850,62,22,64,346,2566,722,826,,,,174,130
"01/1994",7634,1524,1476,44,20,68,420,4264,760,694,44,18,68,256,2330,734,702,,,,164,132
"02/1994",7102,1344,1340,48,26,36,422,3926,652,594,48,26,36,272,2160,676,682,,,,150,156
"03/1994",8116,1608,1456,66,10,42,418,4602,870,688,66,10,42,254,2374,712,708,,,,164,288
"04/1994",8720,1714,1558,70,28,56,456,4838,916,730,70,28,56,288,2518,774,734,,,,168,416
"05/1994",9298,1698,1740,62,30,40,474,5078,850,816,62,28,40,308,2694,838,826,,,,166,578
"06/1994",9214,1654,1668,62,22,96,484,4906,846,750,62,16,96,306,2716,784,840,,,,178,548
"07/1994",10052,1912,1866,70,30,66,524,5336,950,760,70,28,66,360,2998,950,986,,,,164,700
"08/1994",10228,1818,1882,84,18,66,574,5484,892,836,84,16,66,382,3056,898,936,,,,190,588
"09/1994",9624,1820,1784,64,16,58,496,5208,958,760,64,14,58,320,2822,822,914,,,,176,504
"10/1994",10372,2012,1960,64,36,42,546,5692,1034,844,64,34,42,340,3126,950,1014,,,,206,440
"11/1994",9506,1748,1868,70,20,82,528,5364,894,898,70,20,82,328,2916,828,880,,,,200,186
"12/1994",9956,1928,1852,82,22,66,540,5850,1054,862,82,22,66,346,2992,860,926,,,,194,144
"01/1995",8298,1644,1602,56,36,42,424,4634,866,730,56,34,42,258,2604,762,778,,,,166,110
"02/1995",7494,1464,1444,68,30,36,452,4358,826,668,68,30,36,286,2222,630,696,,,,166,142
"03/1995",8682,1646,1672,52,22,68,470,4846,820,770,52,22,68,284,2684,810,794,,,,184,250
"04/1995",8582,1660,1636,64,30,46,460,4840,882,716,64,30,46,306,2644,768,842,,,,152,366
"05/1995",9058,1664,1746,50,22,76,474,4932,852,778,50,22,76,306,2726,786,862,,,,168,528
"06/1995",9842,1852,1700,82,28,64,554,5206,914,746,82,26,64,336,3058,916,838,,,,218,586
"07/1995",10122,1850,1860,66,22,36,572,5360,878,808,66,22,36,356,3218,948,968,,,,216,618
"08/1995",10852,1950,2002,98,34,68,618,5728,936,846,98,34,68,374,3376,988,1076,,,,244,648
"09/1995",10194,1928,1862,78,44,56,514,5498,972,792,78,42,56,312,3098,934,942,,,,200,504
"10/1995",10590,2162,2014,88,34,68,526,5672,1048,878,88,34,68,328,3412,1086,1022,,,,198,440
"11/1995",9630,1728,1882,78,42,56,534,5360,820,818,78,38,56,322,3056,880,952,,,,210,190
"12/1995",9704,1850,1854,62,34,50,542,5450,938,754,62,34,50,334,3106,890,1024,,,,206,150
"01/1996",8414,1560,1682,74,24,58,432,4452,710,738,74,22,58,254,2748,826,856,,,,178,152
"02/1996",8074,1504,1512,58,22,42,398,4400,756,604,58,22,42,250,2542,732,800,,,,148,162
"03/1996",8764,1650,1642,92,26,68,498,4814,804,734,92,26,68,306,2810,842,840,,,,192,212
"04/1996",8952,1638,1716,66,24,40,464,4986,858,756,66,24,40,312,2690,754,872,,,,152,370
"05/1996",9318,1746,1718,62,18,64,482,4938,834,744,62,18,64,302,2966,892,892,,,,180,490
"06/1996",10228,1826,1826,54,36,82,578,5194,868,764,54,32,82,338,3308,930,982,,2,,240,674
"07/1996",9590,1790,1814,86,14,60,510,4998,858,798,86,12,60,288,3092,916,930,,,,222,514
"08/1996",10570,1974,2008,78,30,72,496,5374,940,848,78,28,72,318,3478,1000,1050,,2,,178,628
"09/1996",9874,1864,1812,70,20,48,570,5284,940,796,70,20,48,360,2990,908,918,,,,210,494
"10/1996",10606,1970,1950,78,24,50,558,5732,1030,848,78,24,50,390,3270,922,998,,,,168,386
"11/1996",10102,1970,1870,76,30,60,536,5590,946,768,76,30,60,320,3350,996,1016,,,,216,144
"12/1996",10202,1904,1946,60,22,62,578,5732,898,890,60,22,60,366,3298,978,978,,,,212,118
"01/1997",8752,1622,1672,50,12,58,498,4830,848,714,50,10,58,276,2822,748,886,,2,,222,104
"02/1997",7720,1404,1546,52,34,54,454,4186,714,650,52,34,54,294,2528,680,820,,,,160,164
"03/1997",8576,1558,1622,66,20,58,476,4632,752,688,66,20,58,310,2804,790,848,,,,166,268
"04/1997",8734,1584,1690,50,26,38,468,4652,804,698,50,26,38,294,2820,764,904,,,,174,326
"05/1997",10174,1794,2018,66,42,56,564,5328,870,868,66,42,56,342,3328,908,1028,,,,222,484
"06/1997",9908,1732,1858,52,24,70,538,5036,830,776,52,22,70,344,3172,870,986,,,,194,604
"07/1997",10252,1878,2010,64,26,82,496,5244,874,828,64,24,82,316,3362,972,1050,,,,180,582
"08/1997",10578,1956,2038,62,24,70,538,5394,966,798,62,22,70,320,3464,960,1156,,,,216,574
"09/1997",9432,1790,1708,66,26,48,474,4762,792,728,66,26,48,284,3086,964,884,,,,190,464
"10/1997",10318,1928,1938,66,38,84,532,5388,962,846,66,38,84,330,3338,940,1006,,,,202,430
"11/1997",9600,1798,1914,56,34,68,524,5132,836,796,56,34,68,316,3236,944,1042,,,,208,182
"12/1997",10076,1828,2008,64,36,80,524,5544,930,904,64,36,80,296,3308,880,1028,,,,228,126
"01/1998",8510,1534,1616,56,22,38,454,4514,754,652,56,22,38,280,2882,770,900,,,,174,124
"02/1998",7700,1372,1530,60,28,50,458,4194,664,638,60,26,48,290,2582,692,822,,2,2,168,146
"03/1998",8508,1504,1666,50,30,32,406,4478,716,680,50,30,32,254,2868,774,904,,,,152,216
"04/1998",8524,1532,1646,50,28,68,450,4446,688,706,50,26,68,292,2820,832,874,,,,158,354
"05/1998",9540,1696,1810,68,30,50,522,4798,792,768,68,28,48,300,3208,880,970,,2,2,222,558
"06/1998",9544,1640,1892,58,32,52,454,4680,778,712,58,32,52,250,3286,846,1070,,,,204,508
"07/1998",10430,1782,2016,84,36,80,518,5144,824,796,84,34,78,312,3468,942,1122,,2,2,204,714
"08/1998",10946,1950,2110,56,38,62,606,5358,910,818,56,36,62,328,3792,1026,1186,,2,,278,668
"09/1998",9826,1766,1876,52,28,58,448,4848,828,738,52,28,58,264,3280,912,1032,,,,184,538
"10/1998",10144,1794,1944,64,46,44,472,5192,818,838,64,46,44,282,3382,956,1006,,,,190,430
"11/1998",9662,1720,1812,70,40,62,566,5046,720,754,70,38,56,344,3408,982,976,,2,6,222,242
"12/1998",10510,2012,2138,76,34,46,498,5402,946,836,76,34,44,314,3824,1054,1216,,,2,184,162
"01/1999",7834,1450,1516,56,20,48,412,4024,644,610,56,18,48,256,2838,794,854,,2,,156,114
"02/1999",7424,1282,1474,44,32,54,426,3828,596,594,44,32,52,256,2592,678,824,,,2,170,180
"03/1999",8686,1678,1630,36,10,32,516,4464,808,666,36,10,32,336,3040,860,908,,,,180,278
"04/1999",8588,1464,1644,54,18,60,456,4252,700,628,54,14,60,288,2956,748,942,,2,,166,428
"05/1999",9988,1732,1892,70,22,56,482,4928,776,736,70,20,54,288,3396,944,1040,,2,2,194,562
"06/1999",9636,1698,1832,52,34,54,442,4652,780,722,52,28,54,268,3304,902,1012,,6,,174,626
"07/1999",10288,1710,2010,68,18,50,480,4766,748,768,68,18,46,284,3642,946,1144,,,4,196,706
"08/1999",10722,1828,2136,62,22,50,496,4992,830,754,62,22,50,300,3826,980,1272,,,,196,700
"09/1999",10050,1696,1934,72,22,30,536,4728,704,716,72,20,30,342,3604,974,1140,,2,,194,582
"10/1999",10564,1912,2150,62,28,38,544,5126,816,860,62,28,38,328,3748,1074,1192,,,,216,468
"11/1999",9876,1810,1918,68,32,36,522,5052,848,758,68,32,36,302,3506,948,1082,,,,220,270
"12/1999",9984,1782,2076,66,28,56,520,5236,858,866,66,24,52,298,3572,910,1124,,2,4,222,136
"01/2000",4402,791,866,19,19,30,231,2129,342,312,19,17,26,137,1691,444,518,,2,4,94,80
"02/2000",3904,688,808,25,11,19,202,1930,294,319,25,10,18,108,1417,382,460,,,1,94,90
"03/2000",4369,748,832,27,14,18,212,2119,345,316,27,13,18,136,1545,394,481,,,,76,199
"04/2000",4639,802,935,25,20,32,233,2332,357,354,25,18,29,156,1592,439,545,,,3,77,248
"05/2000",4863,795,894,27,23,25,239,2295,321,321,27,20,24,152,1734,460,544,,1,1,87,329
"06/2000",5027,804,911,35,19,13,250,2319,359,328,35,19,12,149,1720,438,545,,,1,101,400
"07/2000",5344,911,1008,29,11,20,277,2522,409,386,29,10,19,168,1908,492,586,,1,1,109,401
"08/2000",5289,853,1016,33,21,24,272,2427,370,371,33,21,23,153,1843,477,590,,,1,119,428
"09/2000",5137,850,956,32,16,31,273,2424,369,378,32,16,30,161,1794,476,539,,,1,112,347
"10/2000",5178,854,977,42,9,32,258,2540,376,368,42,7,29,169,1821,465,576,,2,3,89,251
"11/2000",4625,799,865,29,16,25,272,2362,364,313,29,14,22,175,1627,430,518,,2,3,97,119
"12/2000",4817,804,966,30,21,36,274,2378,341,373,29,19,36,168,1834,456,568,1,2,,106,82
"01/2001",4117,707,795,30,14,24,198,2067,306,306,30,11,24,135,1484,396,456,,3,,63,73
"02/2001",3956,676,745,14,14,24,230,1975,292,279,14,9,23,149,1438,378,438,,5,1,81,97
"03/2001",4311,762,813,32,13,31,216,2131,322,316,32,13,30,148,1561,431,471,,,1,68,156
"04/2001",4526,776,832,28,18,26,250,2194,353,323,28,16,25,166,1562,416,481,,2,1,84,308
"05/2001",5028,801,924,32,14,25,276,2306,316,352,32,11,24,158,1792,479,539,,3,1,118,357
"06/2001",4873,850,896,30,22,35,256,2246,345,309,29,22,33,158,1741,495,549,1,,2,98,402
"07/2001",5229,878,997,29,19,23,264,2398,379,367,28,17,20,167,1877,491,600,1,2,3,97,441
"08/2001",5373,888,996,38,13,29,282,2471,366,361,35,12,27,191,1859,508,600,3,1,2,91,425
"09/2001",4930,782,940,32,20,22,250,2275,337,353,30,18,21,158,1744,436,553,2,2,1,92,388
"10/2001",5304,857,974,47,22,28,258,2524,335,353,45,18,23,164,1924,515,579,2,3,4,94,271
"11/2001",5104,905,972,33,20,35,273,2440,341,388,32,18,32,166,1909,555,549,1,2,3,106,200
"12/2001",5167,930,1007,40,22,34,304,2561,373,388,37,17,31,187,1968,552,588,3,5,3,117,142
"01/2002",4567,789,880,33,15,26,242,2256,338,328,30,13,24,151,1716,445,533,3,2,1,91,102
"02/2002",4034,719,766,30,14,19,242,1974,296,279,29,13,17,153,1525,418,464,1,1,2,89,127
"03/2002",4727,790,919,41,15,32,251,2284,332,336,39,11,29,158,1754,451,559,2,3,3,93,184
"04/2002",4455,743,844,28,15,9,222,2142,317,357,28,14,8,140,1621,419,467,,1,1,82,259
"05/2002",5008,795,923,36,17,16,268,2317,314,354,35,14,16,164,1814,474,538,1,3,,103,374
"06/2002",5155,799,949,37,19,27,264,2291,304,324,37,16,24,153,1891,491,586,,3,3,111,451
"07/2002",5262,871,986,33,26,22,275,2369,343,354,32,24,17,158,1948,519,599,1,2,5,117,431
"08/2002",5314,863,954,31,18,19,288,2310,316,324,30,14,17,167,1988,535,603,1,4,2,121,482
"09/2002",5109,845,949,35,17,30,265,2330,352,301,34,13,27,176,1802,485,610,1,4,3,89,431
"10/2002",5154,865,955,34,15,20,270,2406,335,360,33,12,17,162,1920,514,562,1,3,3,108,249
"11/2002",4796,822,887,34,21,18,310,2313,343,302,33,15,16,183,1806,468,554,1,5,2,127,178
"12/2002",4845,826,918,42,21,31,293,2383,348,326,40,18,29,183,1902,469,573,2,3,1,110,93
"01/2003",4167,698,815,33,16,20,249,1947,263,271,30,12,18,149,1695,433,523,3,4,2,100,85
"02/2003",3809,626,748,38,15,21,220,1778,253,268,35,12,18,139,1477,365,458,3,3,3,81,98
"03/2003",4370,732,823,30,14,13,250,2042,303,288,29,14,12,161,1665,426,514,1,,1,89,216
"04/2003",4812,809,920,35,16,22,228,2194,324,327,33,14,19,146,1726,472,555,2,2,3,82,376
"05/2003",4924,801,903,36,21,32,259,2250,330,335,34,19,30,162,1814,461,547,2,1,2,97,373
"06/2003",5126,823,905,33,16,30,274,2253,333,319,31,14,29,172,1866,483,550,2,2,1,102,460
"07/2003",5373,842,943,33,20,24,290,2276,326,330,31,20,20,163,2051,507,592,2,,4,127,509
"08/2003",5574,909,1009,41,24,27,280,2390,327,344,38,22,23,154,2106,575,628,3,2,4,126,536
"09/2003",5070,755,925,43,25,22,291,2222,281,314,41,20,19,189,1833,468,577,2,5,3,102,472
"10/2003",5482,891,1062,50,27,30,280,2460,334,372,48,27,24,182,2062,551,646,2,,6,98,351
"11/2003",5279,830,983,47,18,30,297,2522,324,327,47,15,27,188,2030,502,624,,3,3,109,198
"12/2003",4891,809,957,37,19,21,311,2236,281,306,34,17,20,183,1982,514,613,3,2,1,128,128
"01/2004",4505,722,841,28,20,22,260,2075,275,312,27,17,20,158,1745,439,506,1,3,2,102,125
"02/2004",4055,644,781,41,26,23,221,1929,246,278,38,23,20,134,1536,395,479,3,3,3,87,145
"03/2004",4449,752,812,41,20,20,254,2033,308,271,38,18,18,169,1694,437,508,3,2,2,85,270
"04/2004",4683,710,866,31,19,25,238,2086,278,274,29,17,22,152,1737,424,565,2,2,3,86,366
"05/2004",5152,819,894,37,23,35,273,2203,307,314,35,21,26,155,1939,507,557,2,2,9,118,469
"06/2004",5145,793,957,43,23,21,273,2131,298,295,40,20,17,166,1971,488,632,3,3,4,106,480
"07/2004",5294,819,887,42,17,18,266,2182,308,280,36,15,17,146,1967,502,581,6,2,1,120,576
"08/2004",5419,787,974,39,23,23,293,2199,278,313,37,22,18,166,2064,502,626,2,1,5,127,549
"09/2004",4910,784,836,35,15,17,268,2032,301,265,32,14,14,152,1857,476,551,3,1,3,116,464
"10/2004",5231,826,921,41,26,22,323,2283,317,281,39,24,21,177,2012,499,604,2,2,1,146,349
"11/2004",4849,799,903,36,15,24,289,2224,301,297,29,15,21,164,1944,486,588,7,,3,125,191
"12/2004",5037,827,943,57,19,32,287,2311,317,329,52,17,26,177,2029,501,587,5,2,6,110,136
"01/2005",4298,711,784,47,22,28,244,1968,261,271,42,19,27,148,1683,445,488,5,3,1,95,148
"02/2005",4011,651,757,41,16,10,212,1812,240,245,36,12,7,134,1634,409,491,5,4,3,78,130
"03/2005",4411,680,769,39,13,23,249,1959,260,260,36,13,19,149,1695,414,491,3,,4,100,239
"04/2005",4914,758,824,35,20,34,253,2054,278,263,28,14,29,141,1879,477,538,7,5,5,112,446
"05/2005",5019,752,911,38,16,19,275,2084,253,293,36,16,19,160,1916,491,589,2,,,115,487
"06/2005",5186,819,871,37,24,27,323,2086,311,252,29,19,24,186,1955,494,577,8,5,3,137,527
"07/2005",5683,885,959,42,25,28,303,2285,306,295,32,21,26,181,2187,569,626,10,4,2,122,622
"08/2005",5282,789,911,49,22,19,285,2171,296,310,43,20,18,175,1897,486,565,6,2,1,109,579
"09/2005",5081,706,914,41,15,31,270,2034,262,273,31,12,26,170,1853,437,613,10,3,5,99,609
"10/2005",5504,888,995,43,24,32,296,2314,335,323,39,19,32,176,2101,539,641,4,5,,120,458
"11/2005",5212,839,935,52,24,41,296,2266,293,299,45,22,36,164,2105,541,612,7,2,5,132,291
"12/2005",4894,787,950,43,14,30,296,2141,261,278,41,13,25,175,2077,522,652,2,1,5,121,146
"01/2006",4411,703,788,36,23,22,265,1960,253,255,27,21,22,164,1754,445,511,9,2,,101,191
"02/2006",4047,672,701,43,20,32,264,1778,260,215,41,18,27,155,1649,407,468,2,2,5,109,161
"03/2006",4612,730,793,53,20,26,258,1999,253,256,47,18,21,146,1800,471,522,6,2,5,112,297
"04/2006",4658,693,763,44,16,21,261,1906,250,242,34,15,18,166,1750,432,498,10,1,3,94,493
"05/2006",5117,716,851,35,31,23,282,2116,258,282,27,28,19,178,1870,456,550,8,3,4,104,575
"06/2006",5120,747,835,43,25,21,292,1994,269,252,36,20,19,162,1943,472,561,7,5,2,130,589
"07/2006",5236,790,866,49,26,25,309,2066,285,275,45,22,22,179,1989,499,580,4,4,3,130,652
"08/2006",5153,724,854,31,26,43,283,2064,281,253,26,25,35,163,1858,435,568,5,1,8,120,613
"09/2006",4956,727,810,60,30,26,264,1997,259,259,50,25,23,155,1840,465,529,10,5,3,109,555
"10/2006",5235,803,931,42,31,22,325,2211,290,302,33,30,19,195,2046,507,597,9,1,3,130,360
"11/2006",4793,756,857,57,32,30,309,2038,253,283,53,29,24,179,1937,495,552,4,3,6,130,300
"12/2006",4756,752,851,48,28,32,301,2134,272,280,43,21,26,179,1978,474,547,5,7,6,122,176
"01/2007",4060,663,715,38,12,13,278,1791,232,232,33,11,11,167,1687,428,474,5,1,2,111,138
"02/2007",3968,639,688,44,31,23,233,1730,232,230,38,26,17,137,1592,403,441,6,5,6,96,151
"03/2007",4746,724,819,47,21,22,266,1927,274,248,38,18,17,165,1882,436,556,9,3,5,101,392
"04/2007",4614,619,824,46,18,25,295,1960,236,259,41,14,18,195,1762,377,546,5,3,7,100,438
"05/2007",4899,722,793,53,28,26,241,1923,246,279,47,20,23,150,1840,468,498,6,8,3,91,646
"06/2007",4961,729,794,53,24,30,289,1939,259,252,47,21,24,169,1832,456,521,6,3,6,120,626
"07/2007",5123,730,844,42,26,30,287,1933,246,249,37,24,25,171,1963,477,572,5,2,5,116,686
"08/2007",5029,709,837,58,18,31,304,1909,212,267,50,14,27,169,1888,484,539,8,3,4,134,660
"09/2007",4753,712,770,48,23,35,245,1808,263,234,39,21,31,161,1754,442,507,9,1,4,84,635
"10/2007",4961,749,770,44,28,30,309,2022,282,233,32,23,27,201,1821,460,514,12,5,3,108,489
"11/2007",4640,706,802,46,33,28,329,1981,239,255,32,31,25,181,1870,464,523,14,2,3,148,268
"12/2007",4499,760,811,37,28,19,275,1940,262,260,33,23,16,156,1920,490,535,4,5,3,119,176
"01/2008",3916,622,684,48,22,22,256,1786,236,232,38,21,18,159,1527,380,436,10,1,4,97,148
"02/2008",3929,597,655,31,19,27,279,1714,237,222,27,15,22,172,1528,357,414,4,4,5,107,193
"03/2008",3834,616,679,37,19,22,240,1661,217,237,31,15,17,139,1501,392,420,6,4,5,101,294
"04/2008",4021,559,675,41,23,19,241,1569,188,189,30,16,17,151,1512,369,464,11,7,2,90,501
"05/2008",4329,607,691,37,16,26,270,1679,224,232,34,16,24,157,1558,378,431,3,,2,113,613
"06/2008",4487,655,693,48,24,26,262,1682,221,212,38,23,23,159,1641,427,459,10,1,3,103,698
"07/2008",4422,621,640,37,20,31,229,1638,220,206,29,20,29,129,1548,388,418,8,,2,100,717
"08/2008",4663,624,727,55,20,39,279,1758,233,215,47,18,33,166,1662,384,484,7,2,6,113,745
"09/2008",4185,564,605,35,18,26,256,1562,184,186,29,11,24,146,1531,373,397,6,7,2,110,574
"10/2008",4512,641,694,48,21,19,287,1871,243,224,41,19,17,179,1649,393,444,7,2,2,108,483
"11/2008",4151,680,715,53,16,24,263,1781,245,200,42,14,17,174,1701,426,495,11,2,7,89,278
"12/2008",4211,701,736,53,21,15,267,1780,260,213,40,18,14,173,1821,436,506,13,3,1,94,165
"01/2009",3565,577,639,31,12,18,270,1528,212,201,28,7,15,156,1488,357,423,3,5,3,114,144
"02/2009",3171,496,546,35,20,16,197,1397,176,185,28,19,14,126,1270,315,343,7,1,2,71,209
"03/2009",3459,569,554,38,17,20,244,1418,203,163,31,16,15,150,1416,360,377,7,1,5,94,273
"04/2009",3930,577,607,41,22,24,278,1558,198,169,33,17,18,178,1521,371,418,8,5,6,100,465
"05/2009",4100,607,651,46,19,24,238,1616,207,211,34,18,20,137,1545,395,427,12,1,4,101,582
"06/2009",4013,590,627,41,22,28,265,1541,207,186,35,20,22,160,1497,373,412,6,2,6,105,551
"07/2009",4083,589,655,36,13,28,263,1470,192,187,30,11,19,150,1614,391,453,6,2,9,113,592
"08/2009",4196,612,630,39,18,23,242,1617,218,191,32,15,18,150,1580,386,421,7,3,5,92,581
"09/2009",3869,556,610,45,22,24,245,1538,217,189,39,17,17,150,1439,335,395,6,5,7,95,511
"10/2009",3857,618,665,33,25,21,252,1615,213,206,30,21,19,139,1552,394,439,3,4,2,113,308
"11/2009",3720,562,625,34,27,21,272,1593,193,210,27,23,19,171,1460,365,394,7,3,2,101,283
"12/2009",3577,562,622,45,20,21,263,1523,193,177,36,17,18,167,1573,361,423,9,3,3,96,103
"01/2010",3107,451,544,33,18,15,218,1371,155,173,29,14,9,146,1268,295,357,4,4,6,72,125
"02/2010",2801,454,450,44,14,20,203,1211,157,146,34,10,13,121,1148,287,288,10,4,7,82,110
"03/2010",3336,491,532,36,14,16,210,1434,166,167,32,13,14,149,1257,319,349,4,1,2,61,265
"04/2010",3804,518,601,52,26,21,274,1542,187,189,43,22,14,167,1395,321,389,9,4,7,107,468
"05/2010",3956,572,559,56,12,20,265,1540,202,172,44,8,11,164,1453,365,367,12,4,9,101,551
"06/2010",3821,574,613,39,14,33,237,1390,206,176,26,10,27,149,1454,362,412,13,4,6,88,587
"07/2010",4200,610,616,42,20,25,264,1525,207,168,35,16,16,146,1616,397,416,7,4,9,118,619
"08/2010",4183,593,621,38,17,26,271,1522,201,177,35,13,22,167,1565,385,425,3,3,4,104,629
"09/2010",4094,556,673,52,31,24,257,1529,196,176,45,26,17,158,1579,351,471,7,5,7,99,526
"10/2010",4136,626,624,41,21,31,260,1655,208,189,34,19,25,165,1587,414,410,7,2,6,95,442
"11/2010",3854,566,652,51,21,12,274,1578,197,183,37,14,10,161,1636,364,445,14,7,2,113,214
"12/2010",3570,567,617,49,21,33,253,1511,168,186,44,17,29,157,1536,395,402,5,4,4,96,115
"01/2011",3076,474,517,51,24,32,222,1345,164,161,43,19,29,134,1205,305,339,8,5,3,88,153
"02/2011",2868,441,467,39,20,19,215,1167,145,126,30,16,15,126,1177,290,315,9,4,4,89,182
"03/2011",3311,507,527,39,20,25,253,1341,176,162,34,14,20,142,1331,322,337,5,6,5,111,267
"04/2011",3508,523,547,50,22,19,228,1433,195,166,42,17,16,143,1283,317,356,8,4,3,85,408
"05/2011",3744,531,567,44,11,19,237,1415,203,165,38,8,13,148,1385,318,382,6,3,6,89,533
"06/2011",3937,554,569,47,24,31,236,1446,193,163,37,21,24,134,1401,352,374,10,3,7,102,603
"07/2011",4232,571,636,52,24,32,272,1591,214,184,44,17,24,166,1552,348,419,8,7,8,106,652
"08/2011",4109,604,580,43,28,25,262,1469,220,161,37,16,17,160,1503,371,384,6,12,8,102,640
"09/2011",3824,505,607,47,13,18,244,1458,193,195,40,11,16,145,1382,299,378,7,2,2,99,507
"10/2011",4194,587,632,61,27,23,280,1694,207,174,50,23,22,167,1593,374,425,11,4,1,113,444
"11/2011",3692,535,568,63,24,30,305,1588,194,163,56,21,26,196,1464,334,382,7,2,4,109,235
"12/2011",3624,545,589,46,19,34,286,1564,200,170,39,12,28,169,1520,340,396,7,7,6,117,144
"01/2012",3330,526,555,43,18,27,255,1454,183,160,36,14,20,166,1334,335,375,7,4,7,89,174
"02/2012",3189,480,529,44,22,20,230,1390,160,188,35,19,15,139,1267,313,323,9,2,5,91,161
"03/2012",3678,530,516,47,15,25,247,1461,176,177,37,14,20,149,1349,341,326,10,1,5,98,439
"04/2012",3548,498,524,43,23,25,214,1435,192,163,36,20,18,120,1286,300,345,7,3,7,94,451
"05/2012",3966,579,607,64,23,30,242,1479,193,185,54,19,20,149,1443,376,387,10,4,10,92,579
"06/2012",4131,576,570,52,29,23,258,1500,179,158,36,23,20,159,1521,387,375,16,6,3,99,664
"07/2012",4164,594,656,53,30,26,265,1548,199,191,44,24,18,160,1558,388,427,9,5,8,104,603
"08/2012",4258,575,617,57,22,28,296,1578,209,172,44,16,22,168,1544,356,416,13,6,6,128,623
"09/2012",4074,572,586,64,25,26,285,1563,206,190,54,23,18,161,1469,361,366,10,1,8,123,575
"10/2012",3997,590,598,51,27,32,291,1608,223,183,37,22,24,174,1495,360,383,14,5,8,117,395
"11/2012",3853,588,608,64,23,28,275,1624,218,154,51,16,21,170,1513,363,422,13,6,7,105,276
"12/2012",3772,606,606,46,23,36,302,1633,225,171,40,20,28,187,1548,375,409,6,3,8,115,168
"01/2013",3416,522,523,60,20,16,267,1424,173,149,48,15,10,158,1402,340,351,12,5,6,109,163
"02/2013",2845,428,453,51,17,21,221,1177,135,120,42,15,15,130,1179,285,313,9,2,6,91,135
"03/2013",3552,487,545,50,20,29,279,1488,186,167,41,18,18,183,1366,295,363,9,2,11,96,301
"04/2013",3464,453,528,44,24,19,273,1399,172,163,39,20,16,163,1269,274,341,5,4,3,110,397
"05/2013",3817,528,547,62,24,17,274,1445,192,164,50,24,13,170,1374,326,358,11,,4,104,504
"06/2013",4009,519,596,48,17,26,285,1481,187,183,41,15,22,170,1447,327,384,7,2,4,114,573
"07/2013",3933,573,524,56,15,33,241,1453,191,152,44,11,26,137,1446,373,351,12,4,6,104,583
"08/2013",4304,558,583,71,18,30,305,1607,210,160,57,15,18,187,1501,345,398,14,3,12,117,695
"09/2013",4106,533,588,66,29,27,286,1587,196,175,50,25,21,185,1452,333,383,16,4,6,101,612
"10/2013",4135,617,609,82,38,27,285,1622,225,165,66,36,24,180,1546,382,416,16,2,3,104,433
"11/2013",3803,571,590,81,41,38,260,1651,212,179,68,33,30,179,1446,354,371,13,7,8,81,265
"12/2013",3717,593,550,65,29,33,330,1624,232,169,55,24,26,203,1474,353,356,10,5,7,126,137
"01/2014",3260,459,528,57,24,29,269,1362,160,143,45,16,21,170,1332,293,367,12,8,8,98,164
"02/2014",2802,432,451,34,16,25,236,1192,160,129,30,11,19,145,1122,267,300,4,5,6,91,145
"03/2014",3374,463,508,57,24,26,264,1379,165,142,48,17,20,169,1312,292,346,9,7,6,95,279
"04/2014",3478,478,513,59,18,23,247,1395,175,158,51,13,16,141,1294,295,343,8,5,7,105,389
"05/2014",3891,533,494,58,30,22,261,1507,177,175,44,26,13,166,1369,348,299,14,4,9,95,564
"06/2014",3887,532,541,57,25,33,276,1395,187,151,47,20,23,177,1421,341,370,10,4,10,99,621
"07/2014",4011,560,550,51,25,27,282,1476,197,158,43,20,14,168,1466,354,378,8,5,13,114,590
"08/2014",4175,599,596,67,23,30,262,1587,190,203,52,19,25,160,1539,403,376,15,4,5,102,585
"09/2014",3897,537,523,67,29,29,301,1480,187,155,56,24,16,195,1443,347,355,11,5,13,106,522
"10/2014",4242,551,637,83,20,35,344,1720,214,189,68,18,30,202,1580,332,419,15,2,5,142,422
"11/2014",4044,583,620,66,23,30,292,1715,203,182,55,17,19,184,1652,377,424,11,6,11,107,243
"12/2014",3889,575,624,74,29,28,338,1688,196,206,62,23,17,197,1602,376,397,12,6,11,140,181
